genus.x,specificEpithet.x,Genus synonyms,Epithet synonyms,Synonym edits,Main common name,Other common names,Excluded names,Accepted scientific name only,Accepted scientific name + common names,Accepted scientific name + common names + taxonomic synonyms,PubMed Virus Search,PubMed Central Virus Search,Scopus Virus Search,Google Scholar Virus Search 1,Google Scholar Virus Search 2,Google Scholar Virus Search 2,Google Scholar Virus Search 3
Neotoma,angustapalata,Neotoma|Homodontomys|Parahodomys|Parneotoma|Teonoma|Teanopus,Neotoma_angustapalata,,Tamaulipan Woodrat,,,,,,,,,,,,
Neotoma,bryanti,Neotoma|Homodontomys|Parahodomys|Parneotoma|Teonoma|Teanopus,Neotoma_bryanti|californica|gilva|intermedia|sola|anthonyi|arenacea|felipensis|martinensis|nudicauda|abbreviata|perpallida|pretiosa|vivina|notia|ravida|bunkeri|latirostra|marcosensis|egressa|petricola|molagrandis|aridicola,,Bryant’s Woodrat,,,,,,,,,,,,
Neotoma,cinerea,Neotoma|Homodontomys|Parahodomys|Parneotoma|Teonoma|Teanopus,cinerea|drummondii|occidentalis|arizonae|fusca|grangeri|orolestes|rupicola|cinnamomea|columbiana|saxamans|apicalis|acraea|lucida|alticola|pulla|macrodon,,Bushy-tailed Woodrat,Packrat,,,,,,,,,,,
Neotoma,devia,Neotoma|Homodontomys|Parahodomys|Parneotoma|Teonoma|Teanopus,Neotoma_intermedia_devia|auripila|bensoni|flava|aureotunicata|harteri,,Arizona Woodrat,,,,,,,,,,,,
Neotoma,ferruginea,Neotoma|Homodontomys|Parahodomys|Parneotoma|Teonoma|Teanopus,ferruginea|isthmica|parvidens|tropicalis|solitaria|chamula|vulcani,,Guatemala Woodrat,Tomes’s Woodrat,,,,,,,,,,,
Neotoma,fuscipes,Neotoma|Homodontomys|Parahodomys|Parneotoma|Teonoma|Teanopus,Neotoma_fuscipes|monochroura|splendens|affinis|annectens|perplexa|riparia|bullatior,,Dusky-footed Woodrat,San Joaquin Valley Woodrat|Riparian Woodrat,,,,,,,,,,,
Neotoma,goldmani,Neotoma|Homodontomys|Parahodomys|Parneotoma|Teonoma|Teanopus,Neotoma_goldmani,,Goldman’s Woodrat,,,,,,,,,,,,
Neotoma,insularis,Neotoma|Homodontomys|Parahodomys|Parneotoma|Teonoma|Teanopus,Neotoma_insularis,,Angel de la Guarda Woodrat,,,,,,,,,,,,
Neotoma,lepida,Neotoma|Homodontomys|Parahodomys|Parneotoma|Teonoma|Teanopus,lepida|desertorum|bella|nevadensis|monstrabilis|marshalli|grinnelli|sanrafaeli,,Desert Woodrat,,,,,,,,,,,,
Neotoma,leucodon,Neotoma|Homodontomys|Parahodomys|Parneotoma|Teonoma|Teanopus,latifrons|Neotoma_leucodon|durangae|montezumae|zacatecae|warreni|melas|robusta|subsolana,,White-toothed Woodrat,,,,,,,,,,,,
Neotoma,macrotis,Neotoma|Homodontomys|Parahodomys|Parneotoma|Teonoma|Teanopus,macrotis|dispar|simplex|streatori|cnemophila|mohavensis|martirensis|luciana,,Big-eared Woodrat,Large-eared Woodrat,,,,,,,,,,,
Neotoma,magister,Neotoma|Homodontomys|Parahodomys|Parneotoma|Teonoma|Teanopus,N[eotoma]_magister|pennsylvanica,,Allegheny Woodrat,Appalachian Woodrat,,,,,,,,,,,
Neotoma,melanura,Neotoma|Homodontomys|Parahodomys|Parneotoma|Teonoma|Teanopus,Neotoma_intermedia_melanura,,Black-tailed Woodrat,Sonora Woodrat,,,,,,,,,,,
